corpus,workflow,field,gold_acc,second_acc,delta_second_minus_gold,n
pilot,w10_schema_v4_access,coding_status,0.740,0.740,0.000,50
pilot,w10_schema_v4_access,confidence,0.540,0.540,0.000,50
pilot,w10_schema_v4_access,dataset_family,0.740,0.740,0.000,50
pilot,w10_schema_v4_access,domain_class,0.900,0.900,0.000,50
pilot,w10_schema_v4_access,frequency_unit,0.780,0.840,0.060,50
pilot,w10_schema_v4_access,frequency_value,0.760,0.840,0.080,50
pilot,w10_schema_v4_access,graph_node_count_max,0.860,0.840,-0.020,50
pilot,w10_schema_v4_access,graph_node_count_min,0.840,0.820,-0.020,50
pilot,w10_schema_v4_access,graph_node_count_status,0.880,0.900,0.020,50
pilot,w10_schema_v4_access,has_public_code,0.780,0.720,-0.060,50
pilot,w10_schema_v4_access,has_public_dataset,0.920,0.860,-0.060,50
pilot,w10_schema_v4_access,horizon_max_value,0.900,0.900,0.000,50
pilot,w10_schema_v4_access,horizon_min_value,0.840,0.840,0.000,50
pilot,w10_schema_v4_access,horizon_type,0.700,0.700,0.000,50
pilot,w10_schema_v4_access,horizon_unit,0.900,0.900,0.000,50
pilot,w10_schema_v4_access,node_unit,0.800,0.840,0.040,50
pilot,w10_schema_v4_access,target_class,0.740,0.720,-0.020,50
pilot,w10_schema_v4_access,task_class,0.880,0.900,0.020,50
pilot,w10_schema_v4_access,venue_type,0.740,0.740,0.000,50
pilot,w10_schema_v4_access,year,0.820,0.860,0.040,50
pilot,w18_horizon_rules_all_pilot,coding_status,0.740,0.740,0.000,50
pilot,w18_horizon_rules_all_pilot,confidence,0.540,0.540,0.000,50
pilot,w18_horizon_rules_all_pilot,dataset_family,0.740,0.740,0.000,50
pilot,w18_horizon_rules_all_pilot,domain_class,0.900,0.900,0.000,50
pilot,w18_horizon_rules_all_pilot,frequency_unit,0.780,0.840,0.060,50
pilot,w18_horizon_rules_all_pilot,frequency_value,0.760,0.840,0.080,50
pilot,w18_horizon_rules_all_pilot,graph_node_count_max,0.860,0.840,-0.020,50
pilot,w18_horizon_rules_all_pilot,graph_node_count_min,0.840,0.820,-0.020,50
pilot,w18_horizon_rules_all_pilot,graph_node_count_status,0.880,0.900,0.020,50
pilot,w18_horizon_rules_all_pilot,has_public_code,0.780,0.720,-0.060,50
pilot,w18_horizon_rules_all_pilot,has_public_dataset,0.920,0.860,-0.060,50
pilot,w18_horizon_rules_all_pilot,horizon_max_value,1.000,1.000,0.000,50
pilot,w18_horizon_rules_all_pilot,horizon_min_value,1.000,1.000,0.000,50
pilot,w18_horizon_rules_all_pilot,horizon_type,1.000,1.000,0.000,50
pilot,w18_horizon_rules_all_pilot,horizon_unit,1.000,1.000,0.000,50
pilot,w18_horizon_rules_all_pilot,node_unit,0.800,0.840,0.040,50
pilot,w18_horizon_rules_all_pilot,target_class,0.740,0.720,-0.020,50
pilot,w18_horizon_rules_all_pilot,task_class,0.880,0.900,0.020,50
pilot,w18_horizon_rules_all_pilot,venue_type,0.740,0.740,0.000,50
pilot,w18_horizon_rules_all_pilot,year,0.820,0.860,0.040,50
pilot,w19_frequency_rules_conservative_pilot,coding_status,0.740,0.740,0.000,50
pilot,w19_frequency_rules_conservative_pilot,confidence,0.540,0.540,0.000,50
pilot,w19_frequency_rules_conservative_pilot,dataset_family,0.740,0.740,0.000,50
pilot,w19_frequency_rules_conservative_pilot,domain_class,0.900,0.900,0.000,50
pilot,w19_frequency_rules_conservative_pilot,frequency_unit,0.960,0.860,-0.100,50
pilot,w19_frequency_rules_conservative_pilot,frequency_value,0.960,0.920,-0.040,50
pilot,w19_frequency_rules_conservative_pilot,graph_node_count_max,0.860,0.840,-0.020,50
pilot,w19_frequency_rules_conservative_pilot,graph_node_count_min,0.840,0.820,-0.020,50
pilot,w19_frequency_rules_conservative_pilot,graph_node_count_status,0.880,0.900,0.020,50
pilot,w19_frequency_rules_conservative_pilot,has_public_code,0.780,0.720,-0.060,50
pilot,w19_frequency_rules_conservative_pilot,has_public_dataset,0.920,0.860,-0.060,50
pilot,w19_frequency_rules_conservative_pilot,horizon_max_value,1.000,1.000,0.000,50
pilot,w19_frequency_rules_conservative_pilot,horizon_min_value,1.000,1.000,0.000,50
pilot,w19_frequency_rules_conservative_pilot,horizon_type,1.000,1.000,0.000,50
pilot,w19_frequency_rules_conservative_pilot,horizon_unit,1.000,1.000,0.000,50
pilot,w19_frequency_rules_conservative_pilot,node_unit,0.800,0.840,0.040,50
pilot,w19_frequency_rules_conservative_pilot,target_class,0.740,0.720,-0.020,50
pilot,w19_frequency_rules_conservative_pilot,task_class,0.880,0.900,0.020,50
pilot,w19_frequency_rules_conservative_pilot,venue_type,0.740,0.740,0.000,50
pilot,w19_frequency_rules_conservative_pilot,year,0.820,0.860,0.040,50
pilot,balanced__qwen3_coder_30b__schema,coding_status,0.700,0.700,0.000,50
pilot,balanced__qwen3_coder_30b__schema,confidence,0.540,0.540,0.000,50
pilot,balanced__qwen3_coder_30b__schema,dataset_family,0.660,0.640,-0.020,50
pilot,balanced__qwen3_coder_30b__schema,domain_class,0.840,0.840,0.000,50
pilot,balanced__qwen3_coder_30b__schema,frequency_unit,0.800,0.840,0.040,50
pilot,balanced__qwen3_coder_30b__schema,frequency_value,0.780,0.840,0.060,50
pilot,balanced__qwen3_coder_30b__schema,graph_node_count_max,0.760,0.780,0.020,50
pilot,balanced__qwen3_coder_30b__schema,graph_node_count_min,0.720,0.740,0.020,50
pilot,balanced__qwen3_coder_30b__schema,graph_node_count_status,0.840,0.900,0.060,50
pilot,balanced__qwen3_coder_30b__schema,has_public_code,0.820,0.900,0.080,50
pilot,balanced__qwen3_coder_30b__schema,has_public_dataset,0.380,0.420,0.040,50
pilot,balanced__qwen3_coder_30b__schema,horizon_max_value,0.880,0.880,0.000,50
pilot,balanced__qwen3_coder_30b__schema,horizon_min_value,0.780,0.780,0.000,50
pilot,balanced__qwen3_coder_30b__schema,horizon_type,0.580,0.580,0.000,50
pilot,balanced__qwen3_coder_30b__schema,horizon_unit,0.860,0.860,0.000,50
pilot,balanced__qwen3_coder_30b__schema,node_unit,0.740,0.760,0.020,50
pilot,balanced__qwen3_coder_30b__schema,target_class,0.600,0.580,-0.020,50
pilot,balanced__qwen3_coder_30b__schema,task_class,0.800,0.820,0.020,50
pilot,balanced__qwen3_coder_30b__schema,venue_type,0.660,0.600,-0.060,50
pilot,balanced__qwen3_coder_30b__schema,year,0.780,0.840,0.060,50
pilot,balanced__qwen3_coder_30b__guided,coding_status,0.740,0.740,0.000,50
pilot,balanced__qwen3_coder_30b__guided,confidence,0.540,0.540,0.000,50
pilot,balanced__qwen3_coder_30b__guided,dataset_family,0.740,0.740,0.000,50
pilot,balanced__qwen3_coder_30b__guided,domain_class,0.900,0.900,0.000,50
pilot,balanced__qwen3_coder_30b__guided,frequency_unit,0.780,0.840,0.060,50
pilot,balanced__qwen3_coder_30b__guided,frequency_value,0.760,0.840,0.080,50
pilot,balanced__qwen3_coder_30b__guided,graph_node_count_max,0.860,0.840,-0.020,50
pilot,balanced__qwen3_coder_30b__guided,graph_node_count_min,0.840,0.820,-0.020,50
pilot,balanced__qwen3_coder_30b__guided,graph_node_count_status,0.880,0.900,0.020,50
pilot,balanced__qwen3_coder_30b__guided,has_public_code,0.780,0.720,-0.060,50
pilot,balanced__qwen3_coder_30b__guided,has_public_dataset,0.800,0.860,0.060,50
pilot,balanced__qwen3_coder_30b__guided,horizon_max_value,0.900,0.900,0.000,50
pilot,balanced__qwen3_coder_30b__guided,horizon_min_value,0.840,0.840,0.000,50
pilot,balanced__qwen3_coder_30b__guided,horizon_type,0.700,0.700,0.000,50
pilot,balanced__qwen3_coder_30b__guided,horizon_unit,0.880,0.880,0.000,50
pilot,balanced__qwen3_coder_30b__guided,node_unit,0.800,0.840,0.040,50
pilot,balanced__qwen3_coder_30b__guided,target_class,0.740,0.720,-0.020,50
pilot,balanced__qwen3_coder_30b__guided,task_class,0.880,0.900,0.020,50
pilot,balanced__qwen3_coder_30b__guided,venue_type,0.740,0.740,0.000,50
pilot,balanced__qwen3_coder_30b__guided,year,0.820,0.860,0.040,50
pilot,balanced__qwen3_coder_30b__hybrid,coding_status,0.700,0.700,0.000,50
pilot,balanced__qwen3_coder_30b__hybrid,confidence,0.540,0.540,0.000,50
pilot,balanced__qwen3_coder_30b__hybrid,dataset_family,0.660,0.640,-0.020,50
pilot,balanced__qwen3_coder_30b__hybrid,domain_class,0.900,0.900,0.000,50
pilot,balanced__qwen3_coder_30b__hybrid,frequency_unit,0.800,0.860,0.060,50
pilot,balanced__qwen3_coder_30b__hybrid,frequency_value,0.780,0.860,0.080,50
pilot,balanced__qwen3_coder_30b__hybrid,graph_node_count_max,0.760,0.780,0.020,50
pilot,balanced__qwen3_coder_30b__hybrid,graph_node_count_min,0.720,0.740,0.020,50
pilot,balanced__qwen3_coder_30b__hybrid,graph_node_count_status,0.840,0.900,0.060,50
pilot,balanced__qwen3_coder_30b__hybrid,has_public_code,0.820,0.900,0.080,50
pilot,balanced__qwen3_coder_30b__hybrid,has_public_dataset,0.380,0.420,0.040,50
pilot,balanced__qwen3_coder_30b__hybrid,horizon_max_value,0.880,0.880,0.000,50
pilot,balanced__qwen3_coder_30b__hybrid,horizon_min_value,0.680,0.680,0.000,50
pilot,balanced__qwen3_coder_30b__hybrid,horizon_type,0.360,0.360,0.000,50
pilot,balanced__qwen3_coder_30b__hybrid,horizon_unit,0.860,0.860,0.000,50
pilot,balanced__qwen3_coder_30b__hybrid,node_unit,0.740,0.760,0.020,50
pilot,balanced__qwen3_coder_30b__hybrid,target_class,0.660,0.680,0.020,50
pilot,balanced__qwen3_coder_30b__hybrid,task_class,0.860,0.880,0.020,50
pilot,balanced__qwen3_coder_30b__hybrid,venue_type,0.720,0.720,0.000,50
pilot,balanced__qwen3_coder_30b__hybrid,year,0.820,0.880,0.060,50
holdout,holdout_w10_schema_v4_access,coding_status,0.650,0.650,0.000,20
holdout,holdout_w10_schema_v4_access,confidence,0.500,0.500,0.000,20
holdout,holdout_w10_schema_v4_access,dataset_family,0.200,0.150,-0.050,20
holdout,holdout_w10_schema_v4_access,domain_class,0.800,0.700,-0.100,20
holdout,holdout_w10_schema_v4_access,frequency_unit,0.700,0.650,-0.050,20
holdout,holdout_w10_schema_v4_access,frequency_value,0.600,0.500,-0.100,20
holdout,holdout_w10_schema_v4_access,graph_node_count_max,0.900,0.800,-0.100,20
holdout,holdout_w10_schema_v4_access,graph_node_count_min,0.750,0.550,-0.200,20
holdout,holdout_w10_schema_v4_access,graph_node_count_status,0.750,0.700,-0.050,20
holdout,holdout_w10_schema_v4_access,has_public_code,0.950,1.000,0.050,20
holdout,holdout_w10_schema_v4_access,has_public_dataset,0.800,0.800,0.000,20
holdout,holdout_w10_schema_v4_access,horizon_max_value,0.850,0.850,0.000,20
holdout,holdout_w10_schema_v4_access,horizon_min_value,0.800,0.800,0.000,20
holdout,holdout_w10_schema_v4_access,horizon_type,0.300,0.300,0.000,20
holdout,holdout_w10_schema_v4_access,horizon_unit,0.800,0.800,0.000,20
holdout,holdout_w10_schema_v4_access,node_unit,0.650,0.550,-0.100,20
holdout,holdout_w10_schema_v4_access,target_class,0.650,0.550,-0.100,20
holdout,holdout_w10_schema_v4_access,task_class,0.850,0.700,-0.150,20
holdout,holdout_w10_schema_v4_access,venue_type,0.950,0.900,-0.050,20
holdout,holdout_w10_schema_v4_access,year,0.450,0.400,-0.050,20
holdout,holdout_w18_horizon_rules,coding_status,0.650,0.650,0.000,20
holdout,holdout_w18_horizon_rules,confidence,0.500,0.500,0.000,20
holdout,holdout_w18_horizon_rules,dataset_family,0.200,0.150,-0.050,20
holdout,holdout_w18_horizon_rules,domain_class,0.800,0.700,-0.100,20
holdout,holdout_w18_horizon_rules,frequency_unit,0.700,0.650,-0.050,20
holdout,holdout_w18_horizon_rules,frequency_value,0.600,0.500,-0.100,20
holdout,holdout_w18_horizon_rules,graph_node_count_max,0.900,0.800,-0.100,20
holdout,holdout_w18_horizon_rules,graph_node_count_min,0.750,0.550,-0.200,20
holdout,holdout_w18_horizon_rules,graph_node_count_status,0.750,0.700,-0.050,20
holdout,holdout_w18_horizon_rules,has_public_code,0.950,1.000,0.050,20
holdout,holdout_w18_horizon_rules,has_public_dataset,0.800,0.800,0.000,20
holdout,holdout_w18_horizon_rules,horizon_max_value,0.800,0.800,0.000,20
holdout,holdout_w18_horizon_rules,horizon_min_value,0.850,0.850,0.000,20
holdout,holdout_w18_horizon_rules,horizon_type,0.400,0.400,0.000,20
holdout,holdout_w18_horizon_rules,horizon_unit,0.800,0.800,0.000,20
holdout,holdout_w18_horizon_rules,node_unit,0.650,0.550,-0.100,20
holdout,holdout_w18_horizon_rules,target_class,0.650,0.550,-0.100,20
holdout,holdout_w18_horizon_rules,task_class,0.850,0.700,-0.150,20
holdout,holdout_w18_horizon_rules,venue_type,0.950,0.900,-0.050,20
holdout,holdout_w18_horizon_rules,year,0.450,0.400,-0.050,20
holdout,holdout_w19_frequency_rules_conservative,coding_status,0.650,0.650,0.000,20
holdout,holdout_w19_frequency_rules_conservative,confidence,0.500,0.500,0.000,20
holdout,holdout_w19_frequency_rules_conservative,dataset_family,0.200,0.150,-0.050,20
holdout,holdout_w19_frequency_rules_conservative,domain_class,0.800,0.700,-0.100,20
holdout,holdout_w19_frequency_rules_conservative,frequency_unit,0.700,0.650,-0.050,20
holdout,holdout_w19_frequency_rules_conservative,frequency_value,0.600,0.500,-0.100,20
holdout,holdout_w19_frequency_rules_conservative,graph_node_count_max,0.900,0.800,-0.100,20
holdout,holdout_w19_frequency_rules_conservative,graph_node_count_min,0.750,0.550,-0.200,20
holdout,holdout_w19_frequency_rules_conservative,graph_node_count_status,0.750,0.700,-0.050,20
holdout,holdout_w19_frequency_rules_conservative,has_public_code,0.950,1.000,0.050,20
holdout,holdout_w19_frequency_rules_conservative,has_public_dataset,0.800,0.800,0.000,20
holdout,holdout_w19_frequency_rules_conservative,horizon_max_value,0.800,0.800,0.000,20
holdout,holdout_w19_frequency_rules_conservative,horizon_min_value,0.850,0.850,0.000,20
holdout,holdout_w19_frequency_rules_conservative,horizon_type,0.400,0.400,0.000,20
holdout,holdout_w19_frequency_rules_conservative,horizon_unit,0.800,0.800,0.000,20
holdout,holdout_w19_frequency_rules_conservative,node_unit,0.650,0.550,-0.100,20
holdout,holdout_w19_frequency_rules_conservative,target_class,0.650,0.550,-0.100,20
holdout,holdout_w19_frequency_rules_conservative,task_class,0.850,0.700,-0.150,20
holdout,holdout_w19_frequency_rules_conservative,venue_type,0.950,0.900,-0.050,20
holdout,holdout_w19_frequency_rules_conservative,year,0.450,0.400,-0.050,20
holdout,holdout_w22_selective_consensus,coding_status,0.700,0.700,0.000,20
holdout,holdout_w22_selective_consensus,confidence,0.500,0.500,0.000,20
holdout,holdout_w22_selective_consensus,dataset_family,0.200,0.150,-0.050,20
holdout,holdout_w22_selective_consensus,domain_class,0.800,0.700,-0.100,20
holdout,holdout_w22_selective_consensus,frequency_unit,0.600,0.750,0.150,20
holdout,holdout_w22_selective_consensus,frequency_value,0.450,0.550,0.100,20
holdout,holdout_w22_selective_consensus,graph_node_count_max,1.000,0.900,-0.100,20
holdout,holdout_w22_selective_consensus,graph_node_count_min,0.800,0.600,-0.200,20
holdout,holdout_w22_selective_consensus,graph_node_count_status,0.800,0.750,-0.050,20
holdout,holdout_w22_selective_consensus,has_public_code,0.950,1.000,0.050,20
holdout,holdout_w22_selective_consensus,has_public_dataset,0.800,0.800,0.000,20
holdout,holdout_w22_selective_consensus,horizon_max_value,0.750,0.750,0.000,20
holdout,holdout_w22_selective_consensus,horizon_min_value,0.850,0.850,0.000,20
holdout,holdout_w22_selective_consensus,horizon_type,0.400,0.400,0.000,20
holdout,holdout_w22_selective_consensus,horizon_unit,0.800,0.800,0.000,20
holdout,holdout_w22_selective_consensus,node_unit,0.700,0.600,-0.100,20
holdout,holdout_w22_selective_consensus,target_class,0.650,0.550,-0.100,20
holdout,holdout_w22_selective_consensus,task_class,0.850,0.700,-0.150,20
holdout,holdout_w22_selective_consensus,venue_type,1.000,0.850,-0.150,20
holdout,holdout_w22_selective_consensus,year,0.950,0.900,-0.050,20
holdout,holdout_w23_normalized_temporal,coding_status,0.700,0.700,0.000,20
holdout,holdout_w23_normalized_temporal,confidence,0.500,0.500,0.000,20
holdout,holdout_w23_normalized_temporal,dataset_family,0.250,0.200,-0.050,20
holdout,holdout_w23_normalized_temporal,domain_class,0.800,0.700,-0.100,20
holdout,holdout_w23_normalized_temporal,frequency_unit,0.700,0.650,-0.050,20
holdout,holdout_w23_normalized_temporal,frequency_value,0.600,0.550,-0.050,20
holdout,holdout_w23_normalized_temporal,graph_node_count_max,1.000,0.900,-0.100,20
holdout,holdout_w23_normalized_temporal,graph_node_count_min,0.800,0.600,-0.200,20
holdout,holdout_w23_normalized_temporal,graph_node_count_status,0.800,0.750,-0.050,20
holdout,holdout_w23_normalized_temporal,has_public_code,0.950,1.000,0.050,20
holdout,holdout_w23_normalized_temporal,has_public_dataset,0.800,0.800,0.000,20
holdout,holdout_w23_normalized_temporal,horizon_max_value,0.750,0.750,0.000,20
holdout,holdout_w23_normalized_temporal,horizon_min_value,0.850,0.850,0.000,20
holdout,holdout_w23_normalized_temporal,horizon_type,0.400,0.400,0.000,20
holdout,holdout_w23_normalized_temporal,horizon_unit,0.800,0.800,0.000,20
holdout,holdout_w23_normalized_temporal,node_unit,0.700,0.600,-0.100,20
holdout,holdout_w23_normalized_temporal,target_class,0.650,0.550,-0.100,20
holdout,holdout_w23_normalized_temporal,task_class,0.850,0.700,-0.150,20
holdout,holdout_w23_normalized_temporal,venue_type,1.000,0.850,-0.150,20
holdout,holdout_w23_normalized_temporal,year,0.950,0.900,-0.050,20
holdout,holdout_w23_normalized_temporal_v2,coding_status,0.700,0.700,0.000,20
holdout,holdout_w23_normalized_temporal_v2,confidence,0.500,0.500,0.000,20
holdout,holdout_w23_normalized_temporal_v2,dataset_family,0.250,0.200,-0.050,20
holdout,holdout_w23_normalized_temporal_v2,domain_class,0.800,0.700,-0.100,20
holdout,holdout_w23_normalized_temporal_v2,frequency_unit,0.700,0.650,-0.050,20
holdout,holdout_w23_normalized_temporal_v2,frequency_value,0.600,0.550,-0.050,20
holdout,holdout_w23_normalized_temporal_v2,graph_node_count_max,1.000,0.900,-0.100,20
holdout,holdout_w23_normalized_temporal_v2,graph_node_count_min,0.800,0.600,-0.200,20
holdout,holdout_w23_normalized_temporal_v2,graph_node_count_status,0.800,0.750,-0.050,20
holdout,holdout_w23_normalized_temporal_v2,has_public_code,0.950,1.000,0.050,20
holdout,holdout_w23_normalized_temporal_v2,has_public_dataset,0.800,0.800,0.000,20
holdout,holdout_w23_normalized_temporal_v2,horizon_max_value,0.750,0.750,0.000,20
holdout,holdout_w23_normalized_temporal_v2,horizon_min_value,0.850,0.850,0.000,20
holdout,holdout_w23_normalized_temporal_v2,horizon_type,0.400,0.400,0.000,20
holdout,holdout_w23_normalized_temporal_v2,horizon_unit,0.800,0.800,0.000,20
holdout,holdout_w23_normalized_temporal_v2,node_unit,0.700,0.600,-0.100,20
holdout,holdout_w23_normalized_temporal_v2,target_class,0.650,0.550,-0.100,20
holdout,holdout_w23_normalized_temporal_v2,task_class,0.850,0.700,-0.150,20
holdout,holdout_w23_normalized_temporal_v2,venue_type,1.000,0.850,-0.150,20
holdout,holdout_w23_normalized_temporal_v2,year,0.950,0.900,-0.050,20
holdout,holdout_gemma3_12b_w21_evidence_localized_access,coding_status,0.650,0.650,0.000,20
holdout,holdout_gemma3_12b_w21_evidence_localized_access,confidence,0.300,0.300,0.000,20
holdout,holdout_gemma3_12b_w21_evidence_localized_access,dataset_family,0.050,0.050,0.000,20
holdout,holdout_gemma3_12b_w21_evidence_localized_access,domain_class,0.750,0.650,-0.100,20
holdout,holdout_gemma3_12b_w21_evidence_localized_access,frequency_unit,0.500,0.650,0.150,20
holdout,holdout_gemma3_12b_w21_evidence_localized_access,frequency_value,0.450,0.550,0.100,20
holdout,holdout_gemma3_12b_w21_evidence_localized_access,graph_node_count_max,0.700,0.700,0.000,20
holdout,holdout_gemma3_12b_w21_evidence_localized_access,graph_node_count_min,0.350,0.350,0.000,20
holdout,holdout_gemma3_12b_w21_evidence_localized_access,graph_node_count_status,0.850,0.900,0.050,20
holdout,holdout_gemma3_12b_w21_evidence_localized_access,has_public_code,0.650,0.650,0.000,20
holdout,holdout_gemma3_12b_w21_evidence_localized_access,has_public_dataset,0.600,0.650,0.050,20
holdout,holdout_gemma3_12b_w21_evidence_localized_access,horizon_max_value,0.700,0.700,0.000,20
holdout,holdout_gemma3_12b_w21_evidence_localized_access,horizon_min_value,0.750,0.750,0.000,20
holdout,holdout_gemma3_12b_w21_evidence_localized_access,horizon_type,0.300,0.300,0.000,20
holdout,holdout_gemma3_12b_w21_evidence_localized_access,horizon_unit,0.450,0.450,0.000,20
holdout,holdout_gemma3_12b_w21_evidence_localized_access,node_unit,0.550,0.500,-0.050,20
holdout,holdout_gemma3_12b_w21_evidence_localized_access,target_class,0.700,0.650,-0.050,20
holdout,holdout_gemma3_12b_w21_evidence_localized_access,task_class,0.800,0.700,-0.100,20
holdout,holdout_gemma3_12b_w21_evidence_localized_access,venue_type,0.900,0.750,-0.150,20
holdout,holdout_gemma3_12b_w21_evidence_localized_access,year,1.000,0.950,-0.050,20
holdout,holdout_llama3_3_70b_w21_evidence_localized_access,coding_status,0.750,0.750,0.000,20
holdout,holdout_llama3_3_70b_w21_evidence_localized_access,confidence,0.400,0.400,0.000,20
holdout,holdout_llama3_3_70b_w21_evidence_localized_access,dataset_family,0.150,0.200,0.050,20
holdout,holdout_llama3_3_70b_w21_evidence_localized_access,domain_class,0.750,0.750,0.000,20
holdout,holdout_llama3_3_70b_w21_evidence_localized_access,frequency_unit,0.500,0.550,0.050,20
holdout,holdout_llama3_3_70b_w21_evidence_localized_access,frequency_value,0.400,0.450,0.050,20
holdout,holdout_llama3_3_70b_w21_evidence_localized_access,graph_node_count_max,0.900,0.850,-0.050,20
holdout,holdout_llama3_3_70b_w21_evidence_localized_access,graph_node_count_min,0.650,0.800,0.150,20
holdout,holdout_llama3_3_70b_w21_evidence_localized_access,graph_node_count_status,0.700,0.550,-0.150,20
holdout,holdout_llama3_3_70b_w21_evidence_localized_access,has_public_code,0.500,0.550,0.050,20
holdout,holdout_llama3_3_70b_w21_evidence_localized_access,has_public_dataset,0.650,0.700,0.050,20
holdout,holdout_llama3_3_70b_w21_evidence_localized_access,horizon_max_value,0.750,0.750,0.000,20
holdout,holdout_llama3_3_70b_w21_evidence_localized_access,horizon_min_value,0.700,0.700,0.000,20
holdout,holdout_llama3_3_70b_w21_evidence_localized_access,horizon_type,0.350,0.350,0.000,20
holdout,holdout_llama3_3_70b_w21_evidence_localized_access,horizon_unit,0.700,0.700,0.000,20
holdout,holdout_llama3_3_70b_w21_evidence_localized_access,node_unit,0.650,0.650,0.000,20
holdout,holdout_llama3_3_70b_w21_evidence_localized_access,target_class,0.800,0.800,0.000,20
holdout,holdout_llama3_3_70b_w21_evidence_localized_access,task_class,0.900,0.900,0.000,20
holdout,holdout_llama3_3_70b_w21_evidence_localized_access,venue_type,1.000,0.850,-0.150,20
holdout,holdout_llama3_3_70b_w21_evidence_localized_access,year,0.950,0.900,-0.050,20
holdout,holdout_qwen3_coder_30b_w21_evidence_localized_access,coding_status,0.650,0.650,0.000,20
holdout,holdout_qwen3_coder_30b_w21_evidence_localized_access,confidence,0.450,0.450,0.000,20
holdout,holdout_qwen3_coder_30b_w21_evidence_localized_access,dataset_family,0.200,0.150,-0.050,20
holdout,holdout_qwen3_coder_30b_w21_evidence_localized_access,domain_class,0.750,0.750,0.000,20
holdout,holdout_qwen3_coder_30b_w21_evidence_localized_access,frequency_unit,0.600,0.800,0.200,20
holdout,holdout_qwen3_coder_30b_w21_evidence_localized_access,frequency_value,0.450,0.650,0.200,20
holdout,holdout_qwen3_coder_30b_w21_evidence_localized_access,graph_node_count_max,0.900,0.850,-0.050,20
holdout,holdout_qwen3_coder_30b_w21_evidence_localized_access,graph_node_count_min,0.700,0.700,0.000,20
holdout,holdout_qwen3_coder_30b_w21_evidence_localized_access,graph_node_count_status,0.800,0.800,0.000,20
holdout,holdout_qwen3_coder_30b_w21_evidence_localized_access,has_public_code,0.950,1.000,0.050,20
holdout,holdout_qwen3_coder_30b_w21_evidence_localized_access,has_public_dataset,0.700,0.700,0.000,20
holdout,holdout_qwen3_coder_30b_w21_evidence_localized_access,horizon_max_value,0.800,0.800,0.000,20
holdout,holdout_qwen3_coder_30b_w21_evidence_localized_access,horizon_min_value,0.850,0.850,0.000,20
holdout,holdout_qwen3_coder_30b_w21_evidence_localized_access,horizon_type,0.300,0.300,0.000,20
holdout,holdout_qwen3_coder_30b_w21_evidence_localized_access,horizon_unit,0.800,0.800,0.000,20
holdout,holdout_qwen3_coder_30b_w21_evidence_localized_access,node_unit,0.700,0.700,0.000,20
holdout,holdout_qwen3_coder_30b_w21_evidence_localized_access,target_class,0.550,0.550,0.000,20
holdout,holdout_qwen3_coder_30b_w21_evidence_localized_access,task_class,0.800,0.750,-0.050,20
holdout,holdout_qwen3_coder_30b_w21_evidence_localized_access,venue_type,1.000,0.850,-0.150,20
holdout,holdout_qwen3_coder_30b_w21_evidence_localized_access,year,0.950,0.900,-0.050,20
