workflow,field_group,correct,total,errors,accuracy
metadata_prior_baseline,bibliographic,58,100,42,0.580
metadata_prior_baseline,task_dataset,96,200,104,0.480
metadata_prior_baseline,access,59,100,41,0.590
metadata_prior_baseline,temporal_horizon,53,200,147,0.265
metadata_prior_baseline,temporal_frequency,63,100,37,0.630
metadata_prior_baseline,graph_nodes,42,200,158,0.210
metadata_prior_baseline,meta,38,100,62,0.380
w0_direct_50,bibliographic,51,100,49,0.510
w0_direct_50,task_dataset,123,200,77,0.615
w0_direct_50,access,58,100,42,0.580
w0_direct_50,temporal_horizon,71,200,129,0.355
w0_direct_50,temporal_frequency,17,100,83,0.170
w0_direct_50,graph_nodes,86,200,114,0.430
w0_direct_50,meta,56,100,44,0.560
w1_metadata_sections,bibliographic,72,100,28,0.720
w1_metadata_sections,task_dataset,125,200,75,0.625
w1_metadata_sections,access,71,100,29,0.710
w1_metadata_sections,temporal_horizon,94,200,106,0.470
w1_metadata_sections,temporal_frequency,31,100,69,0.310
w1_metadata_sections,graph_nodes,105,200,95,0.525
w1_metadata_sections,meta,63,100,37,0.630
w2_schema_normalized_50,bibliographic,69,100,31,0.690
w2_schema_normalized_50,task_dataset,125,200,75,0.625
w2_schema_normalized_50,access,70,100,30,0.700
w2_schema_normalized_50,temporal_horizon,100,200,100,0.500
w2_schema_normalized_50,temporal_frequency,29,100,71,0.290
w2_schema_normalized_50,graph_nodes,118,200,82,0.590
w2_schema_normalized_50,meta,63,100,37,0.630
w3_field_groups_50,bibliographic,72,100,28,0.720
w3_field_groups_50,task_dataset,135,200,65,0.675
w3_field_groups_50,access,79,100,21,0.790
w3_field_groups_50,temporal_horizon,112,200,88,0.560
w3_field_groups_50,temporal_frequency,66,100,34,0.660
w3_field_groups_50,graph_nodes,85,200,115,0.425
w3_field_groups_50,meta,53,100,47,0.530
w4_hybrid_w2_w3_50,bibliographic,72,100,28,0.720
w4_hybrid_w2_w3_50,task_dataset,141,200,59,0.705
w4_hybrid_w2_w3_50,access,70,100,30,0.700
w4_hybrid_w2_w3_50,temporal_horizon,107,200,93,0.535
w4_hybrid_w2_w3_50,temporal_frequency,66,100,34,0.660
w4_hybrid_w2_w3_50,graph_nodes,118,200,82,0.590
w4_hybrid_w2_w3_50,meta,63,100,37,0.630
w5_evidence_required,bibliographic,65,100,35,0.650
w5_evidence_required,task_dataset,129,200,71,0.645
w5_evidence_required,access,62,100,38,0.620
w5_evidence_required,temporal_horizon,98,200,102,0.490
w5_evidence_required,temporal_frequency,60,100,40,0.600
w5_evidence_required,graph_nodes,112,200,88,0.560
w5_evidence_required,meta,62,100,38,0.620
w6_second_pass_audit,bibliographic,72,100,28,0.720
w6_second_pass_audit,task_dataset,141,200,59,0.705
w6_second_pass_audit,access,70,100,30,0.700
w6_second_pass_audit,temporal_horizon,101,200,99,0.505
w6_second_pass_audit,temporal_frequency,66,100,34,0.660
w6_second_pass_audit,graph_nodes,119,200,81,0.595
w6_second_pass_audit,meta,63,100,37,0.630
w7_retrieval_tables,bibliographic,72,100,28,0.720
w7_retrieval_tables,task_dataset,129,200,71,0.645
w7_retrieval_tables,access,71,100,29,0.710
w7_retrieval_tables,temporal_horizon,89,200,111,0.445
w7_retrieval_tables,temporal_frequency,29,100,71,0.290
w7_retrieval_tables,graph_nodes,121,200,79,0.605
w7_retrieval_tables,meta,65,100,35,0.650
w8_self_consistency,bibliographic,73,100,27,0.730
w8_self_consistency,task_dataset,125,200,75,0.625
w8_self_consistency,access,70,100,30,0.700
w8_self_consistency,temporal_horizon,89,200,111,0.445
w8_self_consistency,temporal_frequency,29,100,71,0.290
w8_self_consistency,graph_nodes,123,200,77,0.615
w8_self_consistency,meta,65,100,35,0.650
w9_multi_model_panel,bibliographic,72,100,28,0.720
w9_multi_model_panel,task_dataset,138,200,62,0.690
w9_multi_model_panel,access,71,100,29,0.710
w9_multi_model_panel,temporal_horizon,109,200,91,0.545
w9_multi_model_panel,temporal_frequency,66,100,34,0.660
w9_multi_model_panel,graph_nodes,126,200,74,0.630
w9_multi_model_panel,meta,62,100,38,0.620
w10_guideline_fewshot_qwen3_coder,bibliographic,78,100,22,0.780
w10_guideline_fewshot_qwen3_coder,task_dataset,163,200,37,0.815
w10_guideline_fewshot_qwen3_coder,access,79,100,21,0.790
w10_guideline_fewshot_qwen3_coder,temporal_horizon,166,200,34,0.830
w10_guideline_fewshot_qwen3_coder,temporal_frequency,77,100,23,0.770
w10_guideline_fewshot_qwen3_coder,graph_nodes,169,200,31,0.845
w10_guideline_fewshot_qwen3_coder,meta,64,100,36,0.640
w11_cot_grouped,bibliographic,76,100,24,0.760
w11_cot_grouped,task_dataset,143,200,57,0.715
w11_cot_grouped,access,82,100,18,0.820
w11_cot_grouped,temporal_horizon,130,200,70,0.650
w11_cot_grouped,temporal_frequency,80,100,20,0.800
w11_cot_grouped,graph_nodes,149,200,51,0.745
w11_cot_grouped,meta,66,100,34,0.660
w10_schema_v4_access,bibliographic,78,100,22,0.780
w10_schema_v4_access,task_dataset,163,200,37,0.815
w10_schema_v4_access,access,85,100,15,0.850
w10_schema_v4_access,temporal_horizon,167,200,33,0.835
w10_schema_v4_access,temporal_frequency,77,100,23,0.770
w10_schema_v4_access,graph_nodes,169,200,31,0.845
w10_schema_v4_access,meta,64,100,36,0.640
w16_temporal_audit_qwen3_coder,bibliographic,78,100,22,0.780
w16_temporal_audit_qwen3_coder,task_dataset,163,200,37,0.815
w16_temporal_audit_qwen3_coder,access,85,100,15,0.850
w16_temporal_audit_qwen3_coder,temporal_horizon,167,200,33,0.835
w16_temporal_audit_qwen3_coder,temporal_frequency,77,100,23,0.770
w16_temporal_audit_qwen3_coder,graph_nodes,169,200,31,0.845
w16_temporal_audit_qwen3_coder,meta,64,100,36,0.640
w18_horizon_rules_all_pilot,bibliographic,78,100,22,0.780
w18_horizon_rules_all_pilot,task_dataset,163,200,37,0.815
w18_horizon_rules_all_pilot,access,85,100,15,0.850
w18_horizon_rules_all_pilot,temporal_horizon,200,200,0,1.000
w18_horizon_rules_all_pilot,temporal_frequency,77,100,23,0.770
w18_horizon_rules_all_pilot,graph_nodes,169,200,31,0.845
w18_horizon_rules_all_pilot,meta,64,100,36,0.640
w19_frequency_rules_conservative_pilot,bibliographic,78,100,22,0.780
w19_frequency_rules_conservative_pilot,task_dataset,163,200,37,0.815
w19_frequency_rules_conservative_pilot,access,85,100,15,0.850
w19_frequency_rules_conservative_pilot,temporal_horizon,200,200,0,1.000
w19_frequency_rules_conservative_pilot,temporal_frequency,96,100,4,0.960
w19_frequency_rules_conservative_pilot,graph_nodes,169,200,31,0.845
w19_frequency_rules_conservative_pilot,meta,64,100,36,0.640
w10_guideline_fewshot_gemma3_12b,bibliographic,76,100,24,0.760
w10_guideline_fewshot_gemma3_12b,task_dataset,130,200,70,0.650
w10_guideline_fewshot_gemma3_12b,access,80,100,20,0.800
w10_guideline_fewshot_gemma3_12b,temporal_horizon,130,200,70,0.650
w10_guideline_fewshot_gemma3_12b,temporal_frequency,73,100,27,0.730
w10_guideline_fewshot_gemma3_12b,graph_nodes,116,200,84,0.580
w10_guideline_fewshot_gemma3_12b,meta,62,100,38,0.620
w10_schema_v4_access_gemma3_12b,bibliographic,76,100,24,0.760
w10_schema_v4_access_gemma3_12b,task_dataset,130,200,70,0.650
w10_schema_v4_access_gemma3_12b,access,82,100,18,0.820
w10_schema_v4_access_gemma3_12b,temporal_horizon,130,200,70,0.650
w10_schema_v4_access_gemma3_12b,temporal_frequency,73,100,27,0.730
w10_schema_v4_access_gemma3_12b,graph_nodes,116,200,84,0.580
w10_schema_v4_access_gemma3_12b,meta,62,100,38,0.620
w10_guideline_fewshot_mistral_nemo_12b,bibliographic,76,100,24,0.760
w10_guideline_fewshot_mistral_nemo_12b,task_dataset,120,200,80,0.600
w10_guideline_fewshot_mistral_nemo_12b,access,60,100,40,0.600
w10_guideline_fewshot_mistral_nemo_12b,temporal_horizon,94,200,106,0.470
w10_guideline_fewshot_mistral_nemo_12b,temporal_frequency,67,100,33,0.670
w10_guideline_fewshot_mistral_nemo_12b,graph_nodes,112,200,88,0.560
w10_guideline_fewshot_mistral_nemo_12b,meta,64,100,36,0.640
w10_schema_v4_access_mistral_nemo_12b,bibliographic,76,100,24,0.760
w10_schema_v4_access_mistral_nemo_12b,task_dataset,120,200,80,0.600
w10_schema_v4_access_mistral_nemo_12b,access,72,100,28,0.720
w10_schema_v4_access_mistral_nemo_12b,temporal_horizon,94,200,106,0.470
w10_schema_v4_access_mistral_nemo_12b,temporal_frequency,67,100,33,0.670
w10_schema_v4_access_mistral_nemo_12b,graph_nodes,112,200,88,0.560
w10_schema_v4_access_mistral_nemo_12b,meta,64,100,36,0.640
w10_guideline_fewshot_llama3_1_8b,bibliographic,73,100,27,0.730
w10_guideline_fewshot_llama3_1_8b,task_dataset,131,200,69,0.655
w10_guideline_fewshot_llama3_1_8b,access,66,100,34,0.660
w10_guideline_fewshot_llama3_1_8b,temporal_horizon,136,200,64,0.680
w10_guideline_fewshot_llama3_1_8b,temporal_frequency,74,100,26,0.740
w10_guideline_fewshot_llama3_1_8b,graph_nodes,129,200,71,0.645
w10_guideline_fewshot_llama3_1_8b,meta,66,100,34,0.660
w10_schema_v4_access_llama3_1_8b,bibliographic,73,100,27,0.730
w10_schema_v4_access_llama3_1_8b,task_dataset,131,200,69,0.655
w10_schema_v4_access_llama3_1_8b,access,74,100,26,0.740
w10_schema_v4_access_llama3_1_8b,temporal_horizon,136,200,64,0.680
w10_schema_v4_access_llama3_1_8b,temporal_frequency,74,100,26,0.740
w10_schema_v4_access_llama3_1_8b,graph_nodes,129,200,71,0.645
w10_schema_v4_access_llama3_1_8b,meta,66,100,34,0.660
